0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,season
rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt,2026
1,Duke,ACC,28-2,128.53852367710692,5,90.41615081891577,1,0.9828045600598323,1,28.912894105116276,2.0871058948837238,16.912894105116276,1.0871058948837238,16-1,0.7233855940538328,0.6311810947209217,0.7938949170731181,0.7284473947130944,0.6311810947209217,0.798695278040775,0.6211333185076088,0.6231602382209331,116.39868426017107,103.36531292142345,116.53800985036615,103.304792326618,129.78323359998728,91.35112326977436,127.7734691801213,88.68423981461592,0.985219160436078,17.0,0.05871056646217576,1381.0,1062.0,1109.9499999999998,1.244200189197712,0.9567998558493628,0.8803014144909418,0.9411764705882353,11.497419166320148,1,57,65.79612228939492,2026
2,Michigan,B10,27-2,129.13296307421462,4,90.84847785908457,3,0.9827741788573421,2,28.608589482103987,2.3914105178960114,18.608589482103987,1.3914105178960117,17-1,0.7781506417455412,0.7309089526189947,0.8070205628784309,0.7880426147105204,0.7309089526189947,0.8194661288608598,0.6038659649860834,0.6595353445748408,118.07009708530408,102.7494335652344,118.32152161989468,102.39179936182803,129.6578965109307,93.61499859399946,129.7843447635103,88.0093692919582,0.9886481238409065,17.0,0.06012450581870876,1558.0,1270.0,1264.1625000000001,1.232436494517121,1.004617681666716,0.9314762227027202,0.9444444444444444,11.318724546200848,2,54,71.65990493496929,2026
3,Arizona,B12,28-2,125.82993943604225,11,90.6360900939265,2,0.9775312879862849,3,28.88844708118504,2.1115529188149615,15.888447081185038,2.1115529188149615,15-2,0.72095997761474,0.5666536439660363,0.8389589386402188,0.7235745412732741,0.5666536439660363,0.8369063004396122,0.6348230671961271,0.7191028362312797,116.60094388329354,103.90621441390604,116.67920062309662,103.95420465659035,126.4736551205319,90.65017496138653,125.51098373126904,89.62016402135691,0.9796347294715539,18.0,0.08140695311424107,1424.0,1186.0,1211.425,1.1754751635470624,0.9790123202014157,0.8020114510292996,0.8823529411764706,11.050837790267014,3,27,70.1765349345585,2026
4,Florida,SEC,24-6,126.50070540803935,8,91.84772026332536,4,0.975429534109029,4,24.730341084825948,6.269658915174052,15.730341084825948,2.2696589151740514,15-2,0.7405583977554453,0.616771498299038,0.8352189679279923,0.7462097579676331,0.616771498299038,0.8396929455060632,0.619669835822699,0.683983664052766,118.3822832166682,104.93035456055476,118.50186528964296,104.74595239892056,128.8815032740065,91.52292090049659,127.73585309004278,92.29845730799416,0.9767238822657263,16.0,-0.040170441493626474,1529.0,1230.0,1231.6999999999998,1.2413737111309573,0.9986197937809533,0.9157505643332668,0.8823529411764706,7.391311961507032,6,274,70.49727822103279,2026
5,Houston,B12,25-5,125.97696574756819,10,92.63968752034481,5,0.9716642629874793,5,25.876018593351056,5.1239814066489435,13.876018593351056,4.1239814066489435,13-4,0.7072231688259893,0.5328715901625223,0.8405508466274644,0.7096532044056173,0.5328715901625223,0.8373288146922971,0.6574571703131568,0.7930595294833437,115.80552619630846,104.47042881118941,115.8656179774809,104.49616723411549,127.54281476867315,92.4354062769698,128.4992400106156,96.72116002303645,0.9632807613623076,13.0,-0.007888450038255668,1302.0,1090.0,1095.4750000000001,1.1885255254569933,0.995002168009311,0.7825542717944544,0.7647058823529411,7.333580256405989,7,198,63.28784992427322,2026
6,Illinois,B10,23-7,132.49600826835672,1,97.66838583573744,22,0.9708921602077638,6,23.927634369238916,7.072365630761084,14.927634369238916,5.072365630761084,14-5,0.7295401650292368,0.5737013793674606,0.8197626198860544,0.7272533919289382,0.5737013793674606,0.8117069988377509,0.6236501175186315,0.7157134689981342,116.94809726579388,103.43458847994293,116.78835774591928,103.51006957037113,133.58889824989492,98.72344566138393,134.39464906634603,99.92285989045001,0.967965855250993,17.0,-0.04492328649582167,1555.0,1344.0,1251.1625000000001,1.2428441549359095,1.074200993076439,0.6586501989199832,0.7368421052631579,6.506793109346615,11,287,65.62517482935328,2026
7,Connecticut,BE,27-3,124.56366495612576,17,95.00137017374647,12,0.9575334851849417,7,27.810836606432023,3.1891633935679766,17.810836606432023,2.1891633935679766,17-2,0.7027475580662156,0.5860595688065253,0.7703037623744569,0.7057540950290819,0.5860595688065253,0.7715860844514876,0.6721260252086353,0.6454792010408771,114.6644682303112,103.98325153716118,114.62275115102754,103.8778570614626,124.1122160771135,95.43434518865908,124.13306416111381,89.9316823639132,0.97602539820786,11.0,0.09552404287825877,1492.0,1275.0,1268.575,1.1761228149695524,1.0050647379934177,0.7959502039150711,0.8947368421052632,8.90726447431363,4,17,64.89297636502056,2026
8,Purdue,B10,23-7,130.7275129901417,2,99.90585968610522,31,0.9565697616203895,8,23.784049832456596,7.215950167543405,13.784049832456594,6.215950167543405,13-6,0.756913328811916,0.6207224568667628,0.8357606757275312,0.7612411894629595,0.6207224568667628,0.8385264923908677,0.6094434653912909,0.7271337647580671,117.79397025062339,103.26584253621311,117.9890761721157,103.26230548316546,131.33155646399342,100.53739809058861,131.35343651683385,98.9444517841695,0.9629713032290633,17.0,0.01023933539906463,1503.0,1358.0,1234.6625,1.2173367215737094,1.0998957204904174,0.8910770089942622,0.6842105263157895,6.934934272152004,9,153,64.84226572505563,2026
9,Iowa St.,B12,24-6,122.93848007931162,27,94.73547405692423,11,0.952431561037868,9,24.894850530399196,6.105149469600803,11.894850530399198,6.105149469600803,11-6,0.6719098614839212,0.4580648773584127,0.8354383787563687,0.674762724706999,0.4580648773584127,0.8312667255698669,0.6712162090220869,0.8025513124894369,114.06905148509937,104.38611086899954,114.1167153060871,104.3900807491281,121.62107060717005,94.78904529904912,118.54407578087635,97.29940237765004,0.9064600131262526,12.0,0.019343317953702255,1274.0,1156.0,1127.325,1.1301088860798794,1.0254363204932029,0.7603486213993368,0.6470588235294118,5.99222100954067,14,129,66.90795420915393,2026
