player_name,team,conf,gp,min_per,ortg,usg,efg,ts_per,orb_per,drb_per,ast_per,to_per,ftm,fta,ft_per,two_pm,two_pa,two_p_per,tpm,tpa,tp_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,rec_rank,ast_tov,rim_made,rim_att,mid_made,mid_att,rim_pct,mid_pct,dunks_made,dunks_att,dunk_pct,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,three_p_per_100,season
Rashaun Agee,Texas A&M,SEC,30,64.3,122.3,25.1,51.7,57.36,10.8,25.8,17.0,10.5,125,168,0.744,127,221,0.575,17,74,0.23,3.4,2.1,56.9,Sr,6-7,12,3.60505,132.675,3.5,2026,71003,"Chicago, IL",,1.92097573,107.0,171.0,20.0,50.0,0.6257,0.4,19.0,20.0,0.95,,101.635,95.5252,3.45491,182.297,8.75803,4.55519,4.20284,8.52915,26.0267,5.6909,2.83825,2.5667,6.2,8.7667,2.4333,1.0,0.8,14.3333,Stretch 4,5.15093,2026
Tyler Cochran,Rhode Island,A10,30,75.6,107.2,25.9,49.0,54.17,5.1,19.1,14.0,15.1,114,153,0.745,100,197,0.508,44,142,0.31,0.9,5.3,45.1,Sr,6-2,23,2.37093,114.847,3.5,2026,71025,"Bolingbrook, IL",,0.93335003,79.0,144.0,21.0,53.0,0.5486,0.3962,0.0,0.0,,,95.1066,94.9788,4.12281,213.8,4.62924,1.36634,3.26291,5.86997,30.5,2.03348,3.83649,1.3,4.7,6.0,1.8667,2.7,0.2,14.8667,Wing G,9.29568,2026
Curt Lewis,Southern Miss,SB,29,61.9,110.3,11.2,52.6,53.43,2.3,7.8,5.8,12.7,11,17,0.647,9,27,0.333,47,124,0.379,1.5,1.7,11.3,Sr,6-5,1,0.288374,95.6141,2.4,2026,71299,"Louisville, KY",,1.28579864,6.0,14.0,3.0,13.0,0.4286,0.2308,1.0,1.0,1.0,,110.367,112.697,1.85291,108.262,-0.871076,-0.652672,-0.218404,-0.799959,24.371,-1.02836,0.228401,0.4839,1.6774,2.1613,0.871,0.7419,0.2903,5.9032,Wing G,9.80246,2026
Chase Johnston,High Point,BSth,26,27.7,136.7,15.1,67.3,67.62,2.2,6.4,5.6,7.1,2,2,1.0,0,3,0.0,48,104,0.462,0.4,3.2,1.9,Sr,6-3,99,1.33886,124.617,4.0,2026,71441,"Boca Raton, FL",,2.4997583,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,,,104.308,109.521,1.02354,52.2006,2.78602,4.36675,-1.58073,4.88554,12.2897,4.69488,0.190661,0.2414,0.5862,0.8276,0.5172,0.6897,0.0345,6.069,Scoring PG,18.6635,2026
Devan Cambridge,UCF,B12,29,44.9,121.5,14.8,54.7,58.64,6.8,16.0,8.1,13.1,38,52,0.731,41,64,0.641,15,52,0.288,4.0,1.6,44.8,Sr,6-6,35,1.64733,118.701,4.7,2026,71448,"Nashville, TN",57.2,1.49991943,41.0,59.0,0.0,5.0,0.6949,0.0,13.0,14.0,0.9286,,109.199,103.902,1.89115,99.567,6.15249,3.27599,2.8765,4.00306,18.031,1.64198,2.36109,1.069,2.4828,3.5517,0.931,0.5172,0.6552,5.6897,Wing F,5.6184,2026
Gianni Hunt,East Texas A&M,Slnd,30,79.9,102.1,22.5,46.8,52.87,2.3,13.4,31.2,20.5,94,123,0.764,64,139,0.46,40,126,0.317,0.5,2.9,46.4,Sr,6-4,25,1.40575,104.928,2.7,2026,71463,"Lakewood, CA",35.8,2.06576839,50.0,100.0,14.0,39.0,0.5,0.359,0.0,0.0,,,110.03,111.497,2.52564,171.762,0.0929211,0.189809,-0.0968884,-0.570579,31.0688,-0.803991,0.233412,0.625,3.5938,4.2188,4.9062,1.625,0.125,10.8125,Scoring PG,7.66931,2026
Morgan Safford,Kent St.,MAC,27,75.2,114.8,19.7,50.0,55.41,6.9,13.1,8.4,13.7,92,117,0.786,55,117,0.47,57,164,0.348,1.8,1.4,41.6,Sr,6-5,8,2.19375,112.552,3.7,2026,71540,"Columbus, OH",,0.95350659,44.0,82.0,11.0,35.0,0.5366,0.3143,2.0,2.0,1.0,,111.667,110.96,2.51858,146.139,1.04206,1.64558,-0.603517,0.511202,31.2964,1.21011,-0.698904,1.9286,3.7857,5.7143,1.4643,0.8929,0.4643,14.1071,Wing F,10.5006,2026
Matt Van Komen,Marshall,SB,21,37.1,120.7,17.2,72.5,74.22,14.4,25.5,4.7,26.6,32,41,0.78,66,91,0.725,0,0,0.0,13.5,0.6,45.1,Sr,7-4,13,1.64714,114.609,3.9,2026,71578,"Lehi, UT",55.0,0.36109754,59.0,70.0,7.0,21.0,0.8429,0.3333,34.0,35.0,0.9714,,103.183,104.715,2.17568,107.787,3.62356,-0.910138,4.5337,3.43815,20.9318,1.38858,2.04957,2.6364,5.0,7.6364,0.5909,0.2273,2.6364,7.8182,C,0.0,2026
Jordan Brinson,Cal St. Northridge,BW,27,45.1,115.7,9.7,50.6,53.65,2.7,13.1,14.1,16.0,13,16,0.813,15,32,0.469,17,48,0.354,0.2,0.7,20.0,Sr,6-2,23,0.508823,100.088,2.3,2026,71663,"Inglewood, CA",,3.40023206,7.0,19.0,8.0,13.0,0.3684,0.6154,0.0,0.0,,,111.589,113.115,1.37381,83.4094,-0.963511,-0.490999,-0.472512,-1.06949,18.4552,-1.33473,0.265241,0.4483,2.4138,2.8621,1.7586,0.3793,0.0345,3.5862,Combo G,4.98917,2026
Hosana Kitenge,UC Santa Barbara,BW,28,52.3,98.9,22.8,54.1,55.51,8.6,17.5,18.2,26.7,37,62,0.597,82,150,0.547,2,7,0.286,3.3,2.3,39.5,Sr,6-8,34,0.74134,102.473,7.0,2026,71791,"Crawley, United Kingdom",,0.88706634,72.0,125.0,10.0,25.0,0.576,0.4,2.0,2.0,1.0,,105.177,107.478,1.94365,115.286,0.57988,-1.87939,2.45927,-1.56434,20.6167,-2.98582,1.42148,1.5,2.9333,4.4333,1.8333,0.8,0.5667,7.3333,PF/C,0.700259,2026
