player_name,team,conf,gp,min_per,ortg,usg,efg,ts_per,orb_per,drb_per,ast_per,to_per,ftm,fta,ft_per,two_pm,two_pa,two_p_per,tpm,tpa,tp_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,rec_rank,ast_tov,rim_made,rim_att,mid_made,mid_att,rim_pct,mid_pct,dunks_made,dunks_att,dunk_pct,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,three_p_per_100,season
Harlan Obioha,West Virginia,B12,30,49.2,112.5,16.3,54.0,55.77,12.1,16.7,8.1,15.9,49,86,0.57,52,98,0.531,1,1,1.0,3.0,0.8,86.9,Sr,7-0,55,1.28953,111.125,4.0,2026,76668,"Hoxie, KS",,1.0,50.0,85.0,2.0,13.0,0.5882,0.1538,8.0,11.0,0.7273,,101.388,97.5347,2.51004,100.578,2.53223,-0.682167,3.2144,1.4282,19.9433,-0.610995,2.03919,2.0333,2.7667,4.8,0.8333,0.2667,0.5,5.2,PF/C,0.103869,2026
Tyler Andrews,Bethune Cookman,SWAC,23,41.9,108.1,15.6,61.9,62.99,2.9,10.0,8.3,22.6,20,29,0.69,19,34,0.559,36,84,0.429,3.0,1.8,24.6,Sr,6-6,25,0.500149,99.1008,4.7,2026,76670,"Los Angeles, CA",,0.70967501,12.0,19.0,7.0,15.0,0.6316,0.4667,4.0,4.0,1.0,,109.159,113.37,1.52687,82.6553,-0.0174654,-0.599596,0.582131,-0.758845,21.4087,-1.10688,0.348038,0.5217,1.9565,2.4783,0.9565,0.6957,0.6522,7.2174,Wing G,9.58093,2026
Ernest Udeh Jr.,Miami FL,ACC,28,63.6,135.9,11.3,74.1,69.16,13.6,27.2,2.6,11.8,38,74,0.514,80,108,0.741,0,0,0.0,6.3,2.1,68.5,Sr,6-11,8,2.97775,123.729,3.5,2026,76673,"Orlando, FL",93.8,0.72219632,79.0,105.0,1.0,3.0,0.7524,0.3333,57.0,66.0,0.8636,,94.5449,90.9687,4.09606,181.758,7.90294,2.68535,5.2176,6.49206,27.2679,3.04615,3.44591,3.0714,6.4286,9.5,0.4643,1.0,1.4643,7.0714,C,0.0,2026
Tafara Gapare,Villanova,BE,9,12.1,88.7,13.2,31.5,40.34,5.4,15.6,4.4,18.5,9,11,0.818,4,13,0.308,3,14,0.214,5.3,2.0,40.7,Sr,6-9,6,-0.567754,82.1226,4.6,2026,76674,"Wellington, New Zealand",76.4,0.66656668,2.0,8.0,2.0,5.0,0.25,0.4,0.0,2.0,0.0,,102.518,97.3079,2.06977,28.0728,1.44413,-3.05955,4.50367,-1.28449,16.3667,-3.7301,2.44561,0.7778,2.1111,2.8889,0.4444,0.5556,0.7778,2.8889,Stretch 4,5.7092,2026
Jevin Muniz,Colorado St.,MWC,29,75.8,123.9,19.4,56.6,59.21,3.6,13.2,30.7,16.8,52,73,0.712,73,126,0.579,29,80,0.362,0.9,1.9,35.4,Sr,6-6,55,3.42593,124.82,2.6,2026,76676,"Bethlehem, PA",,3.06376476,55.0,85.0,13.0,34.0,0.6471,0.3824,2.0,2.0,1.0,,111.765,108.846,2.67373,141.319,4.09166,3.59052,0.501132,4.47209,29.89,3.23619,1.23589,0.7333,3.2667,4.0,4.8,0.9333,0.2,9.6667,Scoring PG,5.65327,2026
Kareem Watson,Delaware St.,MEAC,15,20.3,77.5,25.9,40.2,42.07,3.5,18.6,8.7,18.8,7,10,0.7,33,81,0.407,0,1,0.0,2.4,3.1,12.2,Jr,6-8,13,-0.592984,79.1802,2.2,2026,76679,"Philadelphia, PA",,0.3529,10.0,17.0,23.0,64.0,0.5882,0.3594,0.0,0.0,,,105.284,111.127,1.04881,37.4953,-9.88915,-9.36542,-0.523725,-6.45268,11.9118,-5.13522,-1.31746,0.3529,1.5882,1.9412,0.3529,0.5882,0.2353,4.2941,Wing F,0.305516,2026
Chris Moncrief,Saint Francis,NEC,21,49.7,99.9,19.1,52.7,56.09,3.4,9.2,13.3,21.7,44,64,0.688,64,121,0.529,9,26,0.346,0.2,2.8,43.5,Sr,6-6,0,0.320087,95.6223,1.9,2026,76683,"Pittsburgh, PA",,0.90474999,48.0,74.0,16.0,47.0,0.6486,0.3404,3.0,4.0,0.75,,118.89,125.998,0.785861,91.9209,-5.57902,-2.6804,-2.89862,-4.91988,27.5857,-2.37813,-2.54175,0.8571,1.9524,2.8095,1.8095,1.3333,0.0476,9.4762,Wing G,2.56512,2026
Gabe Spinelli,Central Connecticut,NEC,9,11.5,84.4,15.8,44.4,51.11,0.0,10.7,5.7,27.1,7,7,1.0,9,21,0.429,2,6,0.333,0.0,2.4,25.9,Sr,6-3,12,-0.693262,78.1262,3.7,2026,76684,"Watertown, MA",,1.19997794,9.0,18.0,0.0,3.0,0.5,0.0,1.0,1.0,1.0,,111.278,114.373,0.975504,20.1963,-8.42237,-6.21342,-2.20896,-9.78711,14.7909,-8.12909,-1.65801,0.0,1.7273,1.7273,1.0909,0.6364,0.0,4.7273,Combo G,2.8478,2026
Michael Rataj,Baylor,B12,29,60.6,105.5,18.9,44.1,48.69,10.1,11.9,13.3,18.6,50,71,0.704,65,133,0.489,11,52,0.212,1.7,1.2,38.4,Sr,6-8,12,1.59601,111.227,3.5,2026,76688,"Augsburg, Germany",,1.28886668,30.0,52.0,35.0,81.0,0.5769,0.4321,1.0,1.0,1.0,,113.754,107.444,2.25625,107.931,1.85049,1.32977,0.520728,-0.264627,24.3067,0.096461,-0.361088,2.1,2.8,4.9,1.9333,0.5,0.4333,7.6,Stretch 4,4.24136,2026
George Beale Jr.,UCF,B12,23,16.1,106.3,21.4,44.4,48.56,1.8,10.6,6.2,8.5,15,18,0.833,7,26,0.269,19,54,0.352,1.2,0.9,22.5,Sr,6-4,3,0.565667,112.418,4.3,2026,76690,"Suffolk, VA",,1.16634734,3.0,5.0,4.0,21.0,0.6,0.1905,0.0,0.0,,,114.225,109.92,0.682947,28.119,-1.37419,1.0691,-2.44329,-1.61806,8.1304,-0.0991538,-1.5189,0.1304,0.7391,0.8696,0.3043,0.1304,0.087,3.7391,Wing G,16.2713,2026
Perry Smith Jr.,Kennesaw St.,CUSA,18,21.9,118.4,12.8,64.7,63.44,8.8,11.6,10.8,20.6,13,23,0.565,22,34,0.647,0,0,0.0,0.5,1.2,67.6,Sr,6-8,12,0.591098,105.763,5.9,2026,76691,"Augusta, GA",,1.23076929,19.0,30.0,3.0,4.0,0.6333,0.75,2.0,3.0,0.6667,,112.512,113.244,0.920034,35.0326,-1.19827,-0.187694,-1.01057,-2.10579,13.03,-1.91912,-0.186664,1.15,1.65,2.8,0.8,0.35,0.05,3.55,PF/C,0.0,2026
Jackson Skipper,Vermont,AE,25,17.2,85.4,15.3,42.3,46.35,3.7,12.5,6.1,24.1,8,11,0.727,6,13,0.462,7,26,0.269,1.9,0.9,28.2,Sr,6-7,4,-0.426453,76.8356,2.6,2026,76692,"Tulsa, OK",,0.59989201,4.0,9.0,2.0,4.0,0.4444,0.5,0.0,0.0,,,108.265,114.592,0.543788,31.3427,-7.40853,-5.80036,-1.60817,-6.83368,8.7667,-4.78417,-2.04951,0.2963,0.8889,1.1852,0.3333,0.1111,0.1111,1.963,Stretch 4,7.96427,2026
Joe Vick,Valparaiso,MVC,4,0.3,0.0,0.0,0.0,0.0,0.0,28.1,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Sr,6-3,20,-0.35635,-5.54578,0.0,2026,76693,"Kouts, IN",,1.60000002,,,,,,,,,,,106.742,107.233,0.0984665,0.717692,-8.97335,-6.8845,-2.08886,-6.47434,1.4,-5.39028,-1.08406,0.2,0.4,0.6,0.4,0.0,0.0,0.4,PF/C,0.0,2026
Kellen Thames,Saint Louis,A10,27,40.7,126.1,24.0,66.9,67.13,9.4,18.9,19.9,16.6,48,74,0.649,104,153,0.68,2,7,0.286,1.2,4.3,46.3,Jr,6-6,0,2.56861,134.62,3.4,2026,76694,"Saint Louis, MO",,1.54287996,95.0,132.0,9.0,21.0,0.7197,0.4286,16.0,17.0,0.9412,,90.0653,89.9238,2.68824,121.489,8.90104,4.6055,4.29554,10.5209,17.3964,5.64137,4.87954,1.3929,3.4643,4.8571,1.9286,1.3929,0.1786,9.8571,Wing G,0.821178,2026
Jordan Pope,Texas,SEC,29,69.3,124.8,19.6,51.2,56.1,2.1,6.4,10.7,7.7,77,93,0.828,53,114,0.465,61,168,0.363,0.3,0.8,33.0,Sr,6-1,0,3.54487,129.128,3.2,2026,76697,"Oakley, CA",67.0,2.54561588,19.0,32.0,34.0,82.0,0.5938,0.4146,0.0,0.0,,,117.002,109.659,2.36517,99.3974,3.08873,5.14508,-2.05635,2.61181,27.7667,3.54898,-0.937172,0.4667,1.5333,2.0,1.8667,0.4,0.0667,12.7,Combo G,12.0825,2026
Cam Amboree,Southern,SWAC,21,51.2,94.3,21.4,41.5,47.09,1.2,9.0,22.1,20.4,45,55,0.818,26,91,0.286,33,91,0.363,0.0,2.2,30.2,Sr,6-3,3,0.291474,95.4431,3.9,2026,76699,"Pearland, TX",,1.8125,24.0,64.0,2.0,27.0,0.375,0.0741,0.0,0.0,,,114.33,115.148,1.74954,85.2121,-4.88486,-2.10779,-2.77708,-4.90758,26.5708,-3.01156,-1.89602,0.2917,2.125,2.4167,3.625,1.75,0.0,9.4583,Scoring PG,9.02035,2026
Caleb Shaw,Grand Canyon,MWC,19,34.1,111.4,18.8,59.7,59.87,5.6,15.4,12.8,19.5,9,15,0.6,35,54,0.648,26,70,0.371,0.3,1.6,12.1,Sr,6-6,11,1.40054,110.912,3.4,2026,76703,"Phoenix, AZ",,1.0,30.0,43.0,5.0,11.0,0.6977,0.4545,4.0,4.0,1.0,,101.199,98.9725,2.64926,71.2837,3.05296,1.18765,1.86531,3.59168,21.6368,1.5822,2.00948,1.0,2.8947,3.8947,1.3684,0.5789,0.0526,8.2632,Wing F,9.89102,2026
Xavier Amos,Loyola Chicago,A10,16,33.0,107.4,23.0,49.3,54.84,5.6,13.1,5.8,12.5,51,69,0.739,32,62,0.516,23,73,0.315,1.9,0.6,51.1,Jr,6-7,13,1.93432,114.759,3.6,2026,76705,"Chicago, IL",,0.52631579,26.0,45.0,6.0,17.0,0.5778,0.3529,2.0,2.0,1.0,,118.932,116.497,1.52694,56.664,-3.48595,-0.138789,-3.34716,-0.708041,24.775,1.09917,-1.80721,1.1875,2.6875,3.875,0.625,0.25,0.375,11.5,Stretch 4,11.108,2026
Langston Reynolds,Minnesota,B10,30,80.9,105.4,22.4,55.8,57.09,3.0,13.6,29.4,21.9,71,119,0.597,119,201,0.592,11,42,0.262,0.5,1.6,49.0,Sr,6-4,6,2.23415,112.143,2.6,2026,76708,"Denver, CO",,1.76319434,107.0,171.0,12.0,30.0,0.6257,0.4,10.0,12.0,0.8333,,109.174,102.482,3.57016,148.483,1.08314,0.0839004,0.999241,0.815744,32.7833,-0.248269,1.06401,0.7667,3.5333,4.3,4.4667,0.8333,0.1333,11.4,Scoring PG,2.70314,2026
Brock Wisne,Northern Colorado,BSky,28,80.1,114.2,24.9,59.4,61.35,7.5,15.5,15.6,17.7,59,79,0.747,164,263,0.624,25,76,0.329,1.4,1.4,23.3,Sr,6-9,14,2.90026,118.329,3.2,2026,76709,"Thornton, CO",,1.17143095,129.0,195.0,30.0,60.0,0.6615,0.5,4.0,6.0,0.6667,,108.862,108.791,2.83316,160.448,2.23425,1.50608,0.72817,2.73452,31.89,2.57623,0.158295,2.0,4.2667,6.2667,2.7333,0.8333,0.4,16.2667,PF/C,4.7867,2026
B.J. Edwards,SMU,ACC,28,76.8,120.8,19.6,55.1,57.93,4.4,15.0,23.7,16.7,54,70,0.771,88,161,0.547,42,113,0.372,0.7,3.9,25.5,Sr,6-3,0,3.82874,125.822,2.0,2026,76713,"Knoxville, TN",78.8,2.55553249,64.0,95.0,24.0,66.0,0.6737,0.3636,11.0,13.0,0.8462,,104.786,99.1232,4.00801,201.46,8.11808,5.43103,2.68705,7.4711,33.1679,4.1575,3.3136,1.25,4.6429,5.8929,4.9286,2.3214,0.1786,12.7143,Combo G,6.84759,2026
Learic Davis,USC Upstate,BSth,25,47.4,106.9,18.3,54.4,58.16,7.2,16.3,5.0,19.0,41,54,0.759,49,87,0.563,21,61,0.344,2.7,1.7,36.5,Jr,6-7,11,0.738111,101.918,5.0,2026,76715,"Milwaukee, WI",,0.62161341,43.0,69.0,6.0,18.0,0.6232,0.3333,9.0,12.0,0.75,,106.923,110.661,1.8032,101.51,-1.75989,-1.69207,-0.0678262,-1.68412,21.8036,-1.69775,0.0136256,1.4286,3.1786,4.6071,0.8214,0.6786,0.5357,8.3214,Stretch 4,6.23745,2026
Sami Pissis,Alabama A&M,SWAC,25,70.0,102.0,22.4,46.1,49.48,2.4,10.8,27.7,16.1,48,67,0.716,62,142,0.437,33,100,0.33,0.3,2.7,27.7,Sr,6-3,3,1.11018,102.831,3.6,2026,76717,"Les Paris, France",,2.01958809,35.0,72.0,27.0,70.0,0.4861,0.3857,1.0,1.0,1.0,,109.297,115.396,1.98061,127.767,-1.30768,0.548968,-1.85665,-1.72616,30.3444,-0.774242,-0.951922,0.5926,2.8889,3.4815,3.8148,1.2963,0.1111,10.8519,Scoring PG,7.83998,2026
PJ Haggerty,Kansas St.,B12,29,85.0,107.3,31.8,53.1,55.97,3.9,12.9,23.9,16.1,129,187,0.69,217,409,0.531,38,107,0.355,0.1,1.7,36.2,Jr,6-4,4,4.27749,127.323,2.9,2026,76719,"Crosby, TX",66.2,1.19792767,142.0,219.0,75.0,190.0,0.6484,0.3947,1.0,1.0,1.0,,111.467,105.519,3.50592,170.58,1.56612,1.95978,-0.393661,3.4506,35.1552,3.63619,-0.185592,1.2069,4.069,5.2759,3.9655,1.1034,0.0345,23.3448,Combo G,5.72785,2026
Leo Torbor,Texas A&M Corpus Chris,Slnd,27,50.7,84.5,17.8,42.8,44.14,2.3,9.3,15.8,22.4,26,54,0.481,52,116,0.448,1,9,0.111,2.8,3.8,43.2,Sr,6-3,2,-0.733223,81.8374,3.9,2026,76721,"Brooklyn Center, MN",,1.15555252,41.0,86.0,11.0,30.0,0.4767,0.3667,1.0,1.0,1.0,,101.518,102.567,2.22977,106.081,-0.871651,-4.19622,3.32457,-1.7436,19.7323,-4.60285,2.85925,0.4839,1.6452,2.129,1.6774,1.3871,0.4516,5.4194,Combo G,0.968651,2026
Ibu Yamazaki,Northern Colorado,BSky,28,69.0,110.4,16.4,54.2,58.48,2.5,12.2,4.6,14.8,47,52,0.904,36,66,0.545,53,147,0.361,0.8,0.7,24.4,Sr,6-7,54,1.01717,102.877,3.5,2026,76723,"Matsudo, Japan",,0.75763273,27.0,43.0,9.0,22.0,0.6279,0.4091,4.0,4.0,1.0,,111.649,111.577,2.17282,120.628,-1.1832,-0.219722,-0.963478,-1.58781,27.1194,-0.626644,-0.961164,0.6774,2.871,3.5484,0.8065,0.4516,0.1935,9.7097,Wing F,10.7479,2026
TJ Hurley,Vermont,AE,29,76.5,123.0,21.1,56.9,61.65,1.0,12.6,9.8,8.2,82,90,0.911,72,130,0.554,68,176,0.386,0.4,1.4,29.4,Sr,6-5,3,2.90452,119.618,2.4,2026,76726,"Pelham, Canada",,1.69238105,39.0,57.0,33.0,73.0,0.6842,0.4521,2.0,2.0,1.0,,107.933,114.13,2.13691,141.455,-0.48247,1.82156,-2.30403,1.64082,30.7065,2.294,-0.653172,0.2258,3.2258,3.4516,1.4194,0.7419,0.129,14.7419,Wing G,12.1214,2026
Josiah Harris,La Salle,A10,26,45.0,97.4,25.1,45.5,50.1,12.1,19.0,5.2,17.4,54,77,0.701,85,187,0.455,0,0,0.0,1.9,1.3,41.2,Sr,6-9,5,0.945463,105.817,3.6,2026,76733,"Wilmington, DE",,0.28949708,59.0,108.0,26.0,79.0,0.5463,0.3291,7.0,8.0,0.875,,110.971,108.88,1.7697,88.5978,-3.98129,-3.06188,-0.919408,-3.25546,20.0962,-1.2639,-1.99156,2.1923,3.1538,5.3462,0.4231,0.4231,0.3077,8.6154,C,0.0,2026
Fredrick King,Murray St.,MVC,30,59.9,120.2,24.1,65.3,65.27,16.2,21.8,6.2,18.0,84,136,0.618,148,228,0.649,5,10,0.5,7.0,1.5,57.1,Sr,6-9,33,2.95393,126.616,4.3,2026,76736,"Mangrove Cay, Bahamas",70.2,0.39657581,133.0,197.0,15.0,31.0,0.6751,0.4839,37.0,40.0,0.925,,104.666,104.561,2.55323,166.417,4.23055,2.00955,2.221,4.34815,24.7767,3.77975,0.568403,3.5333,4.8667,8.4,0.7667,0.6667,1.9667,13.1667,PF/C,0.748286,2026
Sean Logan,Davidson,A10,21,28.4,91.8,17.5,46.7,45.63,9.7,15.4,7.0,18.8,16,40,0.4,27,56,0.482,1,5,0.2,17.4,1.7,65.6,Sr,6-10,15,-0.0489696,91.3254,6.2,2026,76738,"Westfield, NJ",,0.82360551,16.0,36.0,11.0,20.0,0.4444,0.55,3.0,3.0,1.0,,97.6375,96.0584,2.00485,72.3105,5.91453,-4.1601,10.0746,0.357106,15.2364,-4.77928,5.13638,1.2727,1.8636,3.1364,0.6364,0.4545,2.2273,3.5909,C,0.96871,2026
Reed Bailey,Indiana,B10,30,45.7,125.9,21.6,57.5,65.32,8.0,14.3,11.9,13.6,104,136,0.765,71,122,0.582,1,4,0.25,2.2,0.6,107.9,Sr,6-10,1,2.70398,134.883,4.9,2026,76739,"Harvard, MA",63.4,1.29633337,67.0,105.0,4.0,17.0,0.6381,0.2353,28.0,31.0,0.9032,,107.514,101.168,2.09913,89.3701,4.35026,2.68963,1.66062,3.91137,18.51,2.20546,1.70591,1.1333,2.2667,3.4,1.1667,0.2,0.3667,8.3,C,0.433929,2026
Cooper Noard,Cornell,Ivy,24,71.5,123.4,25.2,62.3,66.2,1.4,12.4,12.4,12.9,81,90,0.9,84,124,0.677,74,189,0.392,1.1,0.8,28.8,Sr,6-2,31,3.76186,130.183,2.1,2026,76741,"Glenview, IL",,1.19047917,67.0,94.0,17.0,30.0,0.7128,0.5667,0.0,0.0,,,119.644,122.177,1.19835,100.86,0.161164,4.42371,-4.26255,2.94615,27.5538,6.49836,-3.55221,0.3846,3.0,3.3846,1.9231,0.4615,0.3077,18.7692,Wing G,15.3259,2026
Trayvon Barbary,Bethune Cookman,SWAC,2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Sr,6-4,24,-0.446171,-6.64889,0.0,2026,76745,"Deland, FL",0.2,0.0,,,,,,,,,,,119.389,104.697,0.133353,0.218925,-6.09936,-4.31421,-1.78515,-10.4681,1.9667,-4.97378,-5.49428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PF/C,0.0,2026
Elijah Hulsewe,UCF,B12,13,4.7,138.3,14.8,62.5,67.8,19.1,21.5,5.7,14.1,6,8,0.75,5,8,0.625,0,0,0.0,2.0,2.1,100.0,Jr,7-0,9,0.614197,135.121,7.4,2026,76746,"Orlando, FL",,1.0,4.0,7.0,1.0,1.0,0.5714,1.0,0.0,0.0,,,107.067,102.544,0.454458,11.2409,6.31443,4.92476,1.38967,3.80228,4.1692,2.45553,1.34676,0.6923,0.7692,1.4615,0.1538,0.1538,0.0769,1.2308,C,0.0,2026
Jeremy Foumena,UCF,B12,24,20.5,110.4,18.6,54.8,54.5,10.6,18.5,3.6,12.7,12,24,0.5,40,72,0.556,0,1,0.0,1.9,0.7,32.9,Jr,6-11,0,0.729148,113.377,5.7,2026,76747,"Montreal, Canada",,0.49987999,21.0,33.0,19.0,39.0,0.6364,0.4872,12.0,14.0,0.8571,,111.411,107.183,0.934831,41.2623,-1.08096,-0.110034,-0.97093,-0.873775,9.95,-0.754,-0.119775,0.9167,1.5833,2.5,0.2083,0.125,0.1667,3.8333,C,0.236647,2026
Jaylen Thompson,Stanford,ACC,17,13.2,99.5,8.3,52.2,51.12,2.2,7.9,3.3,17.7,0,1,0.0,9,15,0.6,2,8,0.25,2.8,2.2,4.3,Jr,6-7,24,-0.177664,86.7842,4.8,2026,76750,"Oakland, CA",76.6,0.7501062,7.0,12.0,2.0,3.0,0.5833,0.6667,0.0,1.0,0.0,,108.805,104.812,0.955679,24.9561,0.483649,-1.8586,2.34225,-1.56131,9.3529,-3.20027,1.63896,0.1765,0.5882,0.7647,0.1765,0.3529,0.2353,1.4118,Wing G,2.96338,2026
Ahjany Lee,Houston Christian,Slnd,18,6.3,115.2,8.4,71.4,71.43,11.6,7.0,2.6,30.1,0,0,0.0,5,7,0.714,0,0,0.0,9.5,0.0,0.0,Jr,6-8,13,0.0642367,96.836,7.1,2026,76752,"Byron, MN",57.2,0.33333333,3.0,5.0,2.0,2.0,0.6,1.0,1.0,1.0,1.0,,114.881,117.321,0.237683,10.1907,-1.82593,-3.31255,1.48663,-5.72422,4.56,-5.18692,-0.537306,0.55,0.35,0.9,0.05,0.0,0.35,1.15,C,0.0,2026
Andrew Rohde,Wisconsin,B10,29,61.7,110.4,14.2,48.4,50.61,2.3,6.8,18.2,16.4,19,25,0.76,24,47,0.511,36,114,0.316,0.6,2.9,15.5,Sr,6-6,7,1.29886,106.923,3.4,2026,76753,"Milwaukee, WI",38.4,2.76665044,18.0,32.0,6.0,15.0,0.5625,0.4,0.0,0.0,,,108.257,102.035,2.85412,128.199,4.61072,2.57827,2.03245,2.71514,25.8552,-0.32458,3.03972,0.5172,1.5172,2.0345,2.8621,1.3103,0.1379,6.0345,Scoring PG,8.83073,2026
Carter Bjerke,St. Thomas,Sum,28,63.1,125.0,15.6,67.2,66.6,3.3,12.1,8.8,10.9,18,32,0.563,23,38,0.605,68,148,0.459,1.3,1.1,17.2,Jr,6-9,32,1.87968,113.73,4.1,2026,76755,"Plymouth, MN",,1.86360438,19.0,30.0,4.0,8.0,0.6333,0.5,0.0,0.0,,,108.953,110.781,2.0553,110.472,1.78634,2.49113,-0.704798,1.29627,24.729,1.79666,-0.500391,0.6452,2.6452,3.2903,1.3226,0.5161,0.2581,9.7742,Stretch 4,11.94,2026
David Idada,Southeast Missouri St.,OVC,28,27.0,103.0,11.2,43.5,51.22,12.2,17.7,4.3,21.8,24,42,0.571,10,23,0.435,0,0,0.0,3.7,0.4,182.6,Sr,7-0,18,-0.161114,87.9601,5.5,2026,76757,"Barendrecht, Netherlands",,0.64282556,10.0,23.0,0.0,0.0,0.4348,,0.0,0.0,,,105.144,110.565,0.88791,51.4066,-3.45801,-4.18475,0.72674,-4.50913,10.9097,-4.47318,-0.0359488,1.0645,1.4839,2.5484,0.2903,0.0645,0.4194,1.9032,C,0.0,2026
Benny Gealer,Stanford,ACC,30,72.6,134.5,15.2,61.4,64.85,1.7,8.7,11.5,9.3,51,57,0.895,24,44,0.545,79,188,0.42,0.3,3.2,24.6,Sr,6-1,5,4.02249,132.199,3.0,2026,76758,"Palos Verdes Estates, CA",,2.47614286,14.0,25.0,10.0,19.0,0.56,0.5263,0.0,0.0,,,107.837,103.457,3.10207,143.216,6.74374,5.52902,1.21473,6.47479,29.0233,3.92462,2.55017,0.4333,2.0,2.4333,1.7333,1.6,0.0667,11.2,Combo G,12.6617,2026
Ryan Agarwal,Stanford,ACC,29,55.3,93.1,15.7,44.8,46.33,3.6,18.4,6.9,19.1,15,22,0.682,28,75,0.373,33,98,0.337,0.8,1.6,12.7,Jr,6-6,11,-0.00370654,92.2118,2.8,2026,76759,"Coppell, TX",73.4,0.73532924,20.0,50.0,8.0,25.0,0.4,0.32,1.0,2.0,0.5,,107.881,103.267,2.46197,108.976,-1.20017,-1.91115,0.710986,-1.99152,22.8931,-1.99439,0.00287276,0.7241,3.3448,4.069,0.8621,0.6207,0.1724,5.8621,Wing F,8.66507,2026
Jalen Washington,Vanderbilt,SEC,30,51.3,126.5,19.6,59.7,63.48,11.5,19.6,7.8,12.9,74,102,0.725,85,134,0.634,9,31,0.29,7.3,1.8,61.8,Sr,6-10,13,2.71008,130.309,5.2,2026,76760,"Gary, IN",90.8,1.0,72.0,104.0,13.0,30.0,0.6923,0.4333,37.0,41.0,0.9024,,101.32,94.5477,2.82836,131.71,8.19476,3.22028,4.97448,6.05851,20.6967,3.14286,2.91565,2.0333,3.6,5.6333,0.9333,0.6667,1.3333,9.0333,C,2.81118,2026
Tyler Nickel,Vanderbilt,SEC,30,75.8,129.5,16.7,60.5,62.56,2.4,9.0,7.0,6.6,42,49,0.857,48,78,0.615,93,232,0.401,2.2,1.3,15.8,Sr,6-7,5,3.76852,128.069,1.9,2026,76761,"Harrisonburg, VA",84.4,2.05549987,25.0,32.0,23.0,46.0,0.7813,0.5,7.0,8.0,0.875,,109.329,102.021,3.3925,135.506,6.1668,5.07774,1.08906,6.67719,30.58,5.69902,0.978175,0.6333,2.4333,3.0667,1.2333,0.7333,0.6,13.9,Wing G,14.2385,2026
Matus Hronsky,Portland,WCC,26,43.5,94.4,17.2,48.3,51.32,2.7,9.9,9.0,19.6,19,21,0.905,33,61,0.541,24,82,0.293,1.2,1.8,14.7,Sr,6-8,7,0.0379623,92.8229,2.4,2026,76768,"Zavazna Poruba, Slovakia",,0.93335818,21.0,32.0,12.0,29.0,0.6563,0.4138,4.0,4.0,1.0,,114.154,111.961,1.49968,81.77,-2.6829,-2.068,-0.614899,-1.69929,19.3643,-1.49096,-0.208321,0.3929,1.7143,2.1071,1.0,0.5714,0.2143,5.9643,Wing F,9.24188,2026
Dominique Ford,San Diego,WCC,28,40.9,101.4,18.4,44.8,50.42,4.3,10.9,7.7,13.1,41,54,0.759,45,90,0.5,10,44,0.227,0.0,3.1,40.3,Sr,6-5,14,0.528794,101.246,2.8,2026,76770,"Las Vegas, NV",,1.19042858,11.0,23.0,34.0,67.0,0.4783,0.5075,0.0,1.0,0.0,,114.135,112.942,1.25412,80.5564,-2.93921,-1.51062,-1.42859,-2.76614,17.2733,-2.00861,-0.757537,0.6333,1.6,2.2333,0.8333,1.0,0.0,5.8333,Wing G,5.31428,2026
David Dixon,Duquesne,A10,28,55.1,108.5,19.1,59.2,62.68,10.1,17.4,10.5,24.6,55,76,0.724,79,127,0.622,3,14,0.214,8.9,3.0,53.9,Sr,6-9,2,1.21589,108.143,5.8,2026,76772,"Memphis, TN",,0.69093985,69.0,102.0,10.0,25.0,0.6765,0.4,35.0,44.0,0.7955,,101.234,100.13,2.61245,144.748,6.15474,-0.641274,6.79602,2.79953,22.3733,-0.751349,3.55088,1.8667,3.3333,5.2,1.2667,1.1,1.6333,8.0333,C,1.26733,2026
German Plotnikov,Hofstra,CAA,27,76.5,118.4,13.0,53.1,56.76,3.8,7.4,4.8,12.1,37,42,0.881,36,74,0.486,45,121,0.372,2.4,1.7,21.5,Sr,6-5,25,1.6792,106.977,2.2,2026,76773,"Minsk, Belarus",,1.13050058,24.0,37.0,12.0,37.0,0.6486,0.3243,4.0,5.0,0.8,,106.057,108.238,2.96854,137.918,3.50139,1.182,2.3194,1.90695,32.269,0.387407,1.51954,1.1034,2.2069,3.3103,0.8966,0.8621,0.7586,9.0,Wing G,8.29254,2026
Halil Barre,Akron,MAC,15,8.7,125.1,19.8,75.0,78.11,7.5,21.1,1.6,23.3,24,31,0.774,12,16,0.75,0,0,0.0,10.7,0.6,193.8,Sr,6-9,8,0.686722,122.799,7.8,2026,76774,"Cotonou, Benin",,0.25,12.0,14.0,0.0,2.0,0.8571,0.0,6.0,6.0,1.0,,101.267,101.085,0.745928,21.9023,0.496285,-2.45996,2.95625,-0.131174,6.7875,-2.17588,2.04471,0.5625,1.375,1.9375,0.125,0.0625,0.6875,3.5,C,0.0,2026
